label,id
Adjust_hob,0
Close_bottle,1
Close_cupboard,2
Close_drawer,3
Close_fridge,4
Close_tap,5
Cut_fruit,6
Cut_lemon,7
Cut_vegetable,8
Flip_bacon,9
Fry_bacon,10
Move_bowl,11
Move_choppingBoard,12
Move_knife,13
Move_plate,14
Open_bottle,15
Open_box,16
Open_cupboard,17
Open_drawer,18
Open_fridge,19
Open_plasticPackaging,20
Open_tap,21
Peel_fruit,22
Pour_water,23
Put_bacon,24
Put_bottle,25
Put_bowl,26
Put_box,27
Put_bread,28
Put_choppingBoard,29
Put_chopsticks,30
Put_cup,31
Put_fruit,32
Put_kettle,33
Put_knife,34
Put_lemon,35
Put_lid,36
Put_pan,37
Put_plasticPackaging,38
Put_plate,39
Put_spoon,40
Put_vegetable,41
Rinse_choppingBoard,42
Rinse_knife,43
Scoop_jam,44
Smear_jam,45
Take_bacon,46
Take_bottle,47
Take_bowl,48
Take_box,49
Take_bread,50
Take_choppingBoard,51
Take_chopsticks,52
Take_cup,53
Take_fruit,54
Take_ingredient,55
Take_kettle,56
Take_knife,57
Take_lid,58
Take_pan,59
Take_plasticPackaging,60
Take_plate,61
Take_spoon,62
Take_tissue,63
Take_vegetable,64
Throw_waste,65
TurnOff_hob,66
TurnOn_hob,67
Wait,68
