Session_ID,Activity,start_t,end_t
Session_02,wash_dish,1704640592.80688,1704640630.466604
Session_04,bread,1710875856.995437,1710875875.392492
Session_04,fruit_salad,1710875453.801213,1710875461.676645
Session_04,vege_salad,1710876435.615414,1710876460.019405
Session_05,cut_cake,1705855727.243433,1705855753.211726
Session_05,coffee,1705856680.427651,1705856698.287686
Session_06,fry_egg,1706045601.317641,1706045631.116888
Session_06,wash_dish,1706046859.051993,1706046865.521509
Session_08,vege_salad,1717347730.912404,1717347761.670192
Session_09,cut_bread,1717614363.383285,1717614378.589473
Session_14,fruit_salad,1738509786.681087,1738509845.724295
Session_14,vege_salad,1738512794.627057,1738512814.710002
